word,phonetics,origin,definition,partOfSpeech
unprofitableness,ˌən-ˈprä-fə-tə-bəl,,"not profitable : producing no gain, good, or result",adjective
representationalist,ˌre-pri-ˌzen-ˈtā-shnə-ˌli-zəm,,the doctrine that the immediate object of knowledge is an idea in the mind distinct from the external object which is the occasion of perception; the theory or practice of realistic representation in art,noun
magnetoencephalographies,mag-ˌnē-tō-in-ˌse-fə-ˈlä-grə-fē,,a noninvasive technique that detects and records the magnetic field associated with electrical activity in the brain,noun
dihydroxyacetone,ˌdī-hī-ˌdräk-sē-ˈa-sə-ˌtōn,,a glyceraldehyde isomer C3H6O3 used especially to stain the skin to simulate a tan —abbreviation DHA,noun
noninterchangeable,ˌnän-ˌin-tər-ˈchān-jə-bəl,,not capable of being interchanged : not interchangeable,adjective
microcalorimetry,ˌmī-krō-ˌka-lə-ˈri-mə-tər,,an instrument for measuring very small quantities of heat,noun
parathyroidectomy,ˌper-ə-ˌthī-ˌrȯi-ˈdek-tə-mē,,partial or complete excision of the parathyroid glands,noun
counter-adaptations,ˌkau̇n-tər-ˌa-ˌdap-ˈtā-shən,,"adaptation of an organism (as in modification of behavior, physiology, or form) in response to an adaptation of another organism with which it regularly interacts; also : a favorable trait that arises as a result of counteradaptation; opposition to the effect of a drug or stimulus that is hypothesized to develop in an organism as a mechanism to maintain homeostasis",noun
geomorphological,ˌjē-ə-mȯr-fə-ˈlä-ji-kəl,,of or relating to the form or surface features of the earth or another celestial body,adjective
biopsychological,ˌbī-ō-sī-ˈkä-lə-jē,,psychobiology,noun
overindebtedness,ˌō-vər-in-ˈde-təd-nəs,,the condition of having too much debt,noun
anti-aphrodisiac,ˌan-tē-ˌa-frə-ˈdē-zē-ˌak,,tending to diminish or quell sexual desire,adjective
dimethyltryptamines,ˌdī-ˌme-thəl-ˈtrip-tə-ˌmēn,,a naturally occurring or easily synthesized hallucinogenic drug C12H16N2 that is chemically similar to but shorter acting than psilocybin —called also DMT,noun
indescribableness,ˌin-di-ˈskrī-bə-bəl,,that cannot be described; surpassing description,adjective
uncombativenesses,ˌən-kəm-ˈba-tiv,,not eager to fight or argue : not combative,adjective
spectroheliograms,ˌspek-trō-ˈhē-lē-ə-ˌgram,,"[""a photograph of the sun that is made by monochromatic light and shows the sun's faculae and prominences""]",noun
interdepartmental,ˌin-tər-di-ˌpärt-ˈmen-tᵊl,,"existing, exchanged, or carried on between two or more departments (as of an organization) or their members; especially : characterized by participation or cooperation of two or more departments of an educational institution",adjective
supercompetitive,ˌsü-pər-kəm-ˈpe-tə-tiv,,extremely competitive,adjective
electroluminescent,i-ˌlek-trō-ˌlü-mə-ˈne-sᵊnt,,of or relating to luminescence resulting from a high-frequency discharge through a gas or from application of a current to a layer of phosphor,adjective
pseudosophisticated,ˈsü-dō-sə-ˌfi-stə-ˈkā-shən,,false or feigned sophistication,noun
over-stimulating,ˌō-vər-ˈstim-yə-ˌlāt,,to stimulate to an excessive or abnormal degree,verb
methodologically,ˌme-thə-də-ˈlä-ji-kəl,,of or relating to method or methodology,adjective
anti-intellectuals,ˌan-tē-ˌin-tə-ˈlek-ch(ə-w)əl,,opposing or hostile to intellectuals or to an intellectual view or approach,adjective
impracticability,(ˌ)im-ˈprak-ti-kə-bəl,,impassable; not practicable : incapable of being performed or accomplished by the means employed or at command,adjective
otorhinolaryngological,ˌō-tō-ˌrī-nō-ˌler-ən-ˈgä-lə-jē,,"a medical specialty concerned especially with the ear, nose, and throat and related parts of the head and neck : otolaryngology",noun
dendrochronological,ˌden-(ˌ)drō-krə-ˈnä-lə-jē,,the science of dating events and variations in environment in former periods by comparative study of growth rings in trees and aged wood,noun
countergovernments,ˌkau̇n-tər-ˈgə-vər(n)-mənt,,a group of people that organizes as an unofficial governing authority to oppose or supplant a legitimate or generally recognized government,noun
interoperability,ˌin-tər-ˌä-p(ə-)rə-ˈbi-lə-tē,,ability of a system (such as a weapons system) to work with or use the parts or equipment of another system,noun
electromagnetically,i-ˌlek-trō-mag-ˈne-tik,,"of, relating to, or produced by electromagnetism",adjective
overemphatically,ˌō-vər-im-ˈfa-tik,,uttered with or marked by excessive or extreme emphasis : excessively or inappropriately emphatic,adjective
unaggressivenesses,ˌən-ə-ˈgre-siv,,not aggressive : not given to fighting or assertiveness,adjective
depressurizations,(ˌ)dē-ˈpre-shə-ˌrīz,,to release pressure from,verb
susceptibilities,sə-ˌsep-tə-ˈbi-lə-tē,,"the quality or state of being susceptible; especially : lack of ability to resist some extraneous agent (such as a pathogen or drug) : sensitivity; a susceptible temperament or constitution; feelings, sensibilities",noun
nonconsecutively,ˌnän-kən-ˈse-kyə-tiv,,not being in a sequence : not consecutive,adjective
forethoughtfulnesses,ˈfȯr-ˌthȯt-fəl,,full of or having forethought,adjective
hyperaggressiveness,ˌhī-pər-ə-ˈgre-siv,,extremely or excessively aggressive,adjective
territorialization,ˌter-ə-ˈtȯr-ē-ə-ˌlīz,,to organize on a territorial basis,verb
dehydrochlorinate,(ˌ)dē-ˌhī-drə-ˌklȯr-ə-ˈnā-shən,,the process of removing hydrogen and chlorine or hydrogen chloride from a compound,noun
unfashionablenesses,ˌən-ˈfa-sh(ə-)nə-bəl,,not in keeping with the current fashion; not favored socially,adjective
antirationalists,ˌan-tē-ˈra-sh(ə-)nəl,,opposed or contrary to what is rational : deliberately or utterly irrational,adjective
hyperconcentration,ˌhī-pər-ˌkän(t)-sən-ˈtrā-shən,,intense or excessive concentration,noun
remilitarization,(ˌ)rē-ˈmi-lə-tə-ˌrīz,,to militarize again,verb
discriminatorily,di-ˈskri-mə-nə-ˌtȯr-ē,,discriminative; applying or favoring discrimination in treatment,adjective
otorhinolaryngology,ˌō-tō-ˌrī-nō-ˌler-ən-ˈgä-lə-jē,,"a medical specialty concerned especially with the ear, nose, and throat and related parts of the head and neck : otolaryngology",noun
counter-retaliations,ˌkau̇n-tər-ri-ˌta-lē-ˈā-shən,,an act of retaliating against a previous retaliatory act,noun
hypersensitiveness,ˌhī-pər-ˈsen(t)-s(ə-)tiv,,excessively or abnormally sensitive; abnormally susceptible physiologically to a specific agent (such as a drug or antigen),adjective
organophosphoruses,ˌȯr-gə-nō-ˈfäs-f(ə-)rəs,,"of, relating to, or being a phosphorus-containing organic compound and especially a pesticide (such as malathion) that acts by inhibiting cholinesterase",adjective
counter-evidence,ˌkau̇n-tər-ˈe-və-dən(t)s,,evidence that contradicts something (such as a hypothesis or claim),noun
communicativeness,kə-ˈmyü-nə-ˌkā-tiv,,tending to communicate : talkative; of or relating to communication,adjective
overrepresentation,ˈō-vər-ˌre-pri-ˈzen-təd,,represented excessively; especially : having representatives in a proportion higher than the average,adjective
impressionability,im-ˈpre-sh(ə-)nə-bəl,,capable of being easily impressed,adjective
hypersensitization,ˌhī-pər-ˈsen(t)-sə-ˌtīz,,to cause extreme or excessive sensitivity in : to make (something or someone) hypersensitive,verb
internationalized,ˌin-tər-ˈna-sh(ə-)nə-ˌlīz,,to make international; also : to place under international control,verb
microradiography,ˌmī-krō-ˌrā-dē-ˈä-grə-fē,,radiography in which an X-ray photograph is prepared showing minute internal structure,noun
intellectualizes,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
rehospitalization,(ˌ)rē-ˈhä-(ˌ)spi-tə-ˌlīz,,to readmit (someone) to a hospital as a patient : to hospitalize (someone) again,verb
institutionalism,ˌin(t)-stə-ˈt(y)ü-sh(ə-)nə-ˌli-zəm,,"emphasis on organization (as in religion) at the expense of other factors; public institutional care of disabled, delinquent, or dependent persons; an economic school of thought that emphasizes the role of social institutions in influencing economic behavior",noun
reclassifications,(ˌ)rē-ˌkla-sə-fə-ˈkā-shən,,the act or process of classifying something again or anew,noun
nonintellectuals,,,a person who is not intellectual,noun
chlortetracycline,ˌklȯr-ˌte-trə-ˈsī-ˌklēn,,a yellow crystalline broad-spectrum antibiotic C22H23ClN2O8 that is produced by a soil actinomycete (Streptomyces aureofaciens) and is sometimes used in animal feeds to stimulate growth,noun
electroanalytical,i-ˌlek-trō-ə-ˈna-lə-səs,,chemical analysis by electrolytic methods,noun
antimilitaristic,ˌan-tē-ˈmi-lə-tə-ˌri-zəm,,opposition or hostility to the military or to militarism,noun
untranslatability,ˌən-tran(t)s-ˈlā-tə-bəl,,unable to be translated : not translatable,adjective
sanctimoniousness,ˌsaŋ(k)-tə-ˈmō-nē-əs,,hypocritically pious or devout; possessing sanctity : holy,adjective
nontherapeutically,ˌnän-ˌther-ə-ˈpyü-tik,,"not relating to, being, or providing therapy : not therapeutic",adjective
ultranationalisms,ˌəl-trə-ˈnash-nə-ˌli-zəm,,radical loyalty and devotion to a nation : extreme nationalism,noun
ethnomusicological,ˌeth-nō-ˌmyü-zi-ˈkä-lə-jē,,the study of music that is outside the European art tradition; the study of music in a sociocultural context,noun
internationalizations,ˌin-tər-ˈna-sh(ə-)nə-ˌlīz,,to make international; also : to place under international control,verb
transcendentalists,ˌtran(t)-ˌsen-ˈden-tə-ˌli-zəm,,a philosophy that emphasizes the a priori conditions of knowledge and experience or the unknowable character of ultimate reality or that emphasizes the transcendent as the fundamental reality; a philosophy that asserts the primacy of the spiritual and transcendental over the material and empirical; the quality or state of being transcendental; especially : visionary idealism,noun
non-compressible,ˌnän-kəm-ˈpre-sə-bəl,,not capable of being compressed: such as; not able to be pressed or squeezed together; not able to be reduced in size by means of compression,adjective
semiautomatically,ˌse-mē-ˌȯ-tə-ˈma-tik,,not fully automatic: such as; operated partly automatically and partly by hand; able to fire repeatedly through an automatic reloading process but requiring release and another pressure of the trigger for each successive shot,adjective
inexpressibility,ˌi-nik-ˈspre-sə-bəl,,not capable of being expressed : indescribable,adjective
anti-intellectualisms,ˌan-tē-ˌin-tə-ˈlek-ch(ə-w)əl,,opposing or hostile to intellectuals or to an intellectual view or approach,adjective
reconceptualization,(ˌ)rē-kən-ˈsep-chə-wə-ˌlīz,,to conceptualize in a new or different way,verb
disestablishment,ˌdis-ə-ˈstab-lish,,to deprive of an established status; especially : to deprive of the status and privileges of an established church,verb
neurochemistries,ˌnu̇r-ō-ˈke-mə-strē,,the study of the chemical makeup and activities of nervous tissue; chemical processes and phenomena related to the nervous system,noun
uniformitarianism,ˌyü-nə-ˌfȯr-mə-ˈter-ē-ə-ˌni-zəm,,a geologic doctrine that processes acting in the same manner as at present and over long spans of time are sufficient to account for all current geological features and all past geological changes,noun
neuroendocrinological,ˌnu̇r-ō-ˌen-də-kri-ˈnä-lə-jē,,a branch of the life sciences dealing with neurosecretion and the physiological interaction between the central nervous system and the endocrine system,noun
hyperimmunization,ˌhī-pər-ˈi-myə-ˌnīz,,"to induce a high level of immunity or of circulating antibodies in (as by a long course of injections of antigen, repeated increasing doses of antigen, or the use of adjuvants with the antigen)",verb
overrepresenting,ˈō-vər-ˌre-pri-ˈzen-təd,,represented excessively; especially : having representatives in a proportion higher than the average,adjective
unaccountability,ˌən-ə-ˈkau̇n-tə-bəl,,"not to be accounted for : inexplicable, strange; not to be called to account : not responsible",adjective
representationalisms,ˌre-pri-ˌzen-ˈtā-shnə-ˌli-zəm,,the doctrine that the immediate object of knowledge is an idea in the mind distinct from the external object which is the occasion of perception; the theory or practice of realistic representation in art,noun
over-stimulations,ˌō-vər-ˈstim-yə-ˌlāt,,to stimulate to an excessive or abnormal degree,verb
unchronologically,ˌən-ˌkrä-nə-ˈlä-ji-kəl,,not arranged according to the order of time : not chronological,adjective
electro-optically,i-ˌlek-trō-ˈäp-ti-kəl,,of or relating to electro-optics; relating to or being a change in the refractive index of a material due to an electric field; using or being a material that exhibits electro-optical properties,adjective
overconscientious,ˌō-vər-ˌkän(t)-shē-ˈen(t)-shəs,,unduly or excessively conscientious : giving more thoughtful attention to something than is necessary or appropriate,adjective
dematerialization,ˌdē-mə-ˈtir-ē-ə-ˌlīz,,to cause to become or appear immaterial; to lose or appear to lose materiality,verb
electrocardiographically,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
insusceptibility,ˌin(t)-sə-ˈsep-tə-bəl,,not susceptible,adjective
inexpressibleness,ˌi-nik-ˈspre-sə-bəl,,not capable of being expressed : indescribable,adjective
multicellularities,ˌməl-tē-ˈsel-yə-lər,,"having, made up of, or involving more than one and usually many cells especially of living matter",adjective
disagreeableness,ˌdis-ə-ˈgrē-ə-bəl,,"causing discomfort : unpleasant, offensive; marked by ill temper : peevish",adjective
counter-traditions,ˌkau̇n-tər-trə-ˈdi-shən,,a tradition that differs from or opposes another tradition,noun
electrotonically,i-ˌlek-trə-ˈtä-nik,,"of, induced by, relating to, or constituting electrotonus; of, relating to, or being the spread of electrical activity through living tissue or cells in the absence of repeated action potentials",adjective
electrophysiologically,i-ˌlek-trō-ˌfi-zē-ˈä-lə-jē,,physiology that is concerned with the electrical aspects of physiological phenomena; electrical phenomena associated with a physiological process (such as the function of a body or bodily part),noun
misinterpretation,ˌmi-sᵊn-ˌtər-prə-ˈtā-shən,,failure to understand or interpret something correctly : a mistaken interpretation,noun
counterrevolutionary,ˌkau̇n-tər-ˌre-və-ˈlü-shən,,a revolution directed toward overthrowing a government or social system established by a previous revolution; a movement to counteract revolutionary trends,noun
exhibitionistically,ˌek-sə-ˈbi-shə-ˌni-zəm,,"[""a perversion in which sexual gratification is obtained from the indecent exposure of one's genitals (as to a stranger)"", 'an act of such exposure; the act or practice of behaving so as to attract attention to oneself",noun
nonmathematicians,ˌnän-ˌmath-mə-ˈti-shən,,a person who is not a mathematician,noun
self-administrations,ˌself-əd-ˌmi-nə-ˈstrā-shən,,the act of administering something to oneself,noun
institutionalisms,ˌin(t)-stə-ˈt(y)ü-sh(ə-)nə-ˌli-zəm,,"emphasis on organization (as in religion) at the expense of other factors; public institutional care of disabled, delinquent, or dependent persons; an economic school of thought that emphasizes the role of social institutions in influencing economic behavior",noun
counter-conspiracy,ˌkau̇n-tər-kən-ˈspir-ə-sē,,a conspiracy to oppose or undermine something (such as another conspiracy),noun
unconvincingness,ˌən-kən-ˈvin(t)-siŋ,,not convincing : implausible,adjective
extrachromosomal,ˌek-strə-ˌkrō-mə-ˈsō-məl,,situated or controlled by factors outside the chromosome,adjective
constitutionalism,ˌkän(t)-stə-ˈtü-sh(ə-)nə-ˌli-zəm,,adherence to or government according to constitutional principles; also : a constitutional system of government,noun
psychoanalytical,ˌsī-kō-ˌa-nə-ˈli-tik,,"of, relating to, or employing psychoanalysis or its principles and techniques",adjective
overcompensations,ˌō-vər-ˌkäm-pən-ˈsā-shən,,"excessive compensation; specifically : excessive reaction to a feeling of inferiority, guilt, or inadequacy leading to an exaggerated attempt to overcome the feeling",noun
overcentralization,ˌō-vər-ˈsen-trə-ˌlīz,,"to centralize (something, such as power or authority) to an excessive degree",verb
nonrelativistically,ˌnän-ˌre-lə-ti-ˈvi-stik,,"not based on or involving the theory of relativity; of, relating to, or being a body moving at less than a relativistic velocity",adjective
trustworthinesses,ˈtrəst-ˌwər-t͟hē,,worthy of confidence : dependable,adjective
indiscriminateness,ˌin-di-ˈskri-mə-nət,,"not marked by careful distinction : deficient in discrimination and discernment; haphazard, random; promiscuous, unrestrained",adjective
internationality,ˌin-tər-ˈna-sh(ə-)nəl,,"of, relating to, or affecting two or more nations; of, relating to, or constituting a group or association having members in two or more nations; active, known, or reaching beyond national boundaries",adjective
anti-nationalists,ˌan-tē-ˈnash-nə-list,,opposed to nationalism or to a nationalist movement or government,adjective
overintellectualized,ˌō-vər-ˌin-tə-ˈlek-chə-wə-ˌlīz,,to intellectualize (something) to an excessive degree,verb
immeasurableness,(ˌ)i(m)-ˈme-zhə-rə-bəl,,incapable of being measured; broadly : indefinitely extensive,adjective
unconscionabilities,ˌən-ˈkän(t)-sh(ə-)nə-bəl,,"shockingly unfair or unjust; excessive, unreasonable; not guided or controlled by conscience : unscrupulous",adjective
supercentenarian,ˈsü-pər-ˌsen-tə-ˈner-ē-ən,,a person who is 110 years old or older,noun
histocompatibilities,ˈhi-(ˌ)stō-kəm-ˌpa-tə-ˈbi-lə-tē,,a state of mutual tolerance that allows some tissues to be grafted effectively to others,noun
hydrophobicities,ˌhī-drə-ˈfō-bik,,"of, relating to, or suffering from hydrophobia; lacking affinity for water",adjective
reclassification,(ˌ)rē-ˌkla-sə-fə-ˈkā-shən,,the act or process of classifying something again or anew,noun
retroperitoneally,ˌre-trō-ˌper-ə-tə-ˈnē-əl,,situated behind the peritoneum,adjective
compressibilities,kəm-ˌpre-sə-ˈbi-lə-tē,,capability of compression : the ability of something (such as a fluid) to be reduced in volume or size under pressure,noun
electroacoustics,i-ˌlek-trō-ə-ˈkü-stiks,,a science that deals with the transformation of acoustic energy into electric energy or vice versa,noun
antidiscrimination,ˌan-tē-di-ˌskri-mə-ˈnā-shən,,opposing or preventing discrimination,adjective
transubstantiation,ˌtran(t)-səb-ˌstan(t)-shē-ˈā-shən,,the miraculous change by which according to Roman Catholic and Eastern Orthodox dogma the eucharistic elements at their consecration become the body and blood of Christ while keeping only the appearances of bread and wine; an act or instance of transubstantiating or being transubstantiated,noun
internationalists,ˌin-tər-ˈna-sh(ə-)nə-ˌli-zəm,,"international character, principles, interests, or outlook; a policy of cooperation among nations; an attitude or belief favoring such a policy",noun
overaggressivenesses,ˌō-vər-ə-ˈgre-siv,,excessively aggressive,adjective
superstimulation,ˌsü-pər-ˈstim-yə-ˌlāt,,to stimulate (something) excessively,verb
redistributionist,(ˌ)rē-ˌdi-strə-ˈbyü-sh(ə-)nist,,one who believes in or advocates a welfare state,noun
campylobacterioses,ˌkam-pi-lō-bak-ˌtir-ē-ˈō-səs,,bacterial infection with or disease caused by campylobacter,noun
anti-egalitarian,ˌan-tē-i-ˌga-lə-ˈter-ē-ən,,opposing or hindering egalitarianism : contrary to principles of social equality and fairness,adjective
maldistributions,ˌmal-ˌdi-strə-ˈbyü-shən,,"bad or faulty distribution : undesirable inequality or unevenness of placement or apportionment (as of population, resources, or wealth) over an area or among members of a group",noun
self-purifications,ˌself-ˌpyu̇r-ə-fə-ˈkā-shən,,purification by natural process; purification of oneself,noun
thermochemistries,ˌthər-mō-ˈke-mə-strē,,a branch of chemistry that deals with the interrelation of heat with chemical reaction or physical change of state,noun
anti-assimilation,ˌan-tē-ə-ˈsi-mə-ˌlā-shən,,opposed to or hostile toward political or cultural assimilation,adjective
anti-aristocratic,ˌan-tē-ə-ˌri-stə-ˈkra-tik,,opposed to or hostile toward the aristocracy or aristocratic sensibilities,adjective
unconscionablenesses,ˌən-ˈkän(t)-sh(ə-)nə-bəl,,"shockingly unfair or unjust; excessive, unreasonable; not guided or controlled by conscience : unscrupulous",adjective
territorialities,ˌter-ə-ˌtȯr-ē-ˈa-lə-tē,,territorial status; persistent attachment to a specific territory; the pattern of behavior associated with the defense of a territory,noun
representatively,ˌre-pri-ˈzen-tə-tiv,,"serving to represent; standing or acting for another especially through delegated authority; of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election",adjective
excommunications,ˌek-skə-ˌmyü-nə-ˈkā-shən,,an ecclesiastical censure depriving a person of the rights of church membership; exclusion from fellowship in a group or community,noun
electromechanically,i-ˌlek-trō-mə-ˈka-ni-kəl,,"of, relating to, or being a mechanical process or device actuated or controlled electrically; especially : being a transducer for converting electrical energy to mechanical energy",adjective
imperishablenesses,(ˌ)im-ˈper-i-shə-bəl,,not perishable or subject to decay; enduring or occurring forever,adjective
radiopharmaceuticals,ˌrā-dē-ō-ˌfär-mə-ˈsü-ti-kəl,,a radioactive drug used for diagnostic or therapeutic purposes,noun
establishmentarians,i-ˌsta-blish-mən-ˈter-ē-ən,,"of, relating to, or favoring the social or political establishment",adjective
internationalizing,ˌin-tər-ˈna-sh(ə-)nə-ˌlīz,,to make international; also : to place under international control,verb
territorializations,ˌter-ə-ˈtȯr-ē-ə-ˌlīz,,to organize on a territorial basis,verb
metamathematical,ˈme-tə-ˌmath-ˈma-tiks,,a field of study concerned with the formal structure and properties (such as the consistency and completeness of axioms) of mathematical systems,noun
dichlorodifluoromethanes,(ˌ)dī-ˌklȯr-ə-ˌdī-ˌflu̇r-ə-ˈme-ˌthān,,a chlorofluoromethane CCl2F2,noun
hydrofluorocarbons,ˌhī-drō-ˌflȯr-ō-ˈkär-bən,,"any of several simple gaseous compounds that contain carbon, fluorine, and hydrogen",noun
dextroamphetamines,ˈdek-(ˌ)strō-am-ˈfe-tə-ˌmēn,,a drug consisting of the dextrorotatory form of amphetamine that is usually administered in the form of its sulfate (C9H13N)2·H2SO4 chiefly in the treatment of narcolepsy and attention deficit disorder,noun
photoautotrophically,ˌfō-tō-ˌȯ-tə-ˈtrō-fik,,autotrophic and utilizing energy from light,adjective
hypersensitivenesses,ˌhī-pər-ˈsen(t)-s(ə-)tiv,,excessively or abnormally sensitive; abnormally susceptible physiologically to a specific agent (such as a drug or antigen),adjective
unseasonableness,ˌən-ˈsēz-nə-bəl,,occurring at other than the proper time : untimely; not being in season; not normal for the season of the year,adjective
incomprehensions,(ˌ)in-ˌkäm-pri-ˈhen(t)-shən,,lack of comprehension or understanding,noun
impressionabilities,im-ˈpre-sh(ə-)nə-bəl,,capable of being easily impressed,adjective
psychohistorical,ˈsī-kō-ˌhi-st(ə-)rē,,historical analysis or interpretation using psychological and psychoanalytic methods; also : a work of history using such methods,noun
radiopharmaceutical,ˌrā-dē-ō-ˌfär-mə-ˈsü-ti-kəl,,a radioactive drug used for diagnostic or therapeutic purposes,noun
archconservatives,(ˌ)ärch-kən-ˈsər-və-tiv,,an extreme conservative,noun
nonphilosophically,ˌnän-ˌfi-lə-ˈsä-fi-kəl,,not philosophical,adjective
countertraditions,ˌkau̇n-tər-trə-ˈdi-shən,,a tradition that differs from or opposes another tradition,noun
neurophysiologic,ˌnu̇r-ō-ˌfi-zē-ˈä-lə-jē,,physiology of the nervous system,noun
anti-pornography,ˌan-tē-pȯr-ˈnä-grə-fē,,opposed to pornography,adjective
institutionalists,ˌin(t)-stə-ˈt(y)ü-sh(ə-)nə-ˌli-zəm,,"emphasis on organization (as in religion) at the expense of other factors; public institutional care of disabled, delinquent, or dependent persons; an economic school of thought that emphasizes the role of social institutions in influencing economic behavior",noun
neuroendocrinology,ˌnu̇r-ō-ˌen-də-kri-ˈnä-lə-jē,,a branch of the life sciences dealing with neurosecretion and the physiological interaction between the central nervous system and the endocrine system,noun
anti-colonialist,ˌan-tē-kə-ˈlō-nē-ə-list,,anti-colonial,adjective
disqualification,(ˌ)dis-ˌkwä-lə-fə-ˈkā-shən,,something that disqualifies or incapacitates; the act of disqualifying : the state of being disqualified,noun
subjectivizations,(ˌ)səb-ˈjek-ti-ˌvīz,,to make subjective,verb
overintellectualize,ˌō-vər-ˌin-tə-ˈlek-chə-wə-ˌlīz,,to intellectualize (something) to an excessive degree,verb
underrepresentations,ˌən-dər-ˌre-pri-ˈzen-təd,,inadequately represented,adjective
electrotherapies,i-ˌlek-trō-ˈther-ə-pē,,the therapeutic use of electricity,noun
overexpectations,ˌō-vər-ˌek-ˌspek-ˈtā-shən,,unreasonably or unrealistically hopeful expectation : the act or state of expecting too much in a given situation,noun
intellectualistic,ˌin-tə-ˈlek-chə-wə-ˌli-zəm,,devotion to the exercise of intellect or to intellectual pursuits,noun
micrographically,ˌmī-krə-ˈgra-fiks,,the industry concerned with the manufacture and sale of graphic material in microform; also : the production of such material,noun
miscommunications,ˌmis-kə-ˌmyü-nə-ˈkā-shən,,failure to communicate clearly,noun
electroretinographic,i-ˌlek-trō-ˈre-tə-nə-ˌgraf,,an instrument for recording electrical activity in the retina,noun
administratively,əd-ˈmi-nə-ˌstrā-tiv-lē,,in an administrative manner or by administrative means : by means of or with regard to administration,adverb
unsustainabilities,ˌən-sə-ˈstā-nə-bəl,,not capable of being prolonged or continued : not sustainable,adjective
psycholinguistic,ˌsī-kō-liŋ-ˈgwi-stiks,,"the study of the mental faculties involved in the perception, production, and acquisition of language",noun
electroretinograph,i-ˌlek-trō-ˈre-tə-nə-ˌgraf,,an instrument for recording electrical activity in the retina,noun
ultranationalistic,ˌəl-trə-ˈnash-nə-ˌli-zəm,,radical loyalty and devotion to a nation : extreme nationalism,noun
supercentenarians,ˈsü-pər-ˌsen-tə-ˈner-ē-ən,,a person who is 110 years old or older,noun
supersaturations,ˌsü-pər-ˌsa-chə-ˈrā-shən,,the state of being supersaturated,noun
electromagnetisms,i-ˌlek-trō-ˈmag-nə-ˌti-zəm,,"magnetism developed by a current of electricity; a fundamental physical force that is responsible for interactions between charged particles which occur because of their charge and for the emission and absorption of photons, that is about a hundredth the strength of the strong force, and that extends over infinite distances but is dominant over atomic and molecular distances —called also electromagnetic force; a branch of physical science that deals with the physical relations between electricity and magnetism",noun
noninstitutional,ˌnän-ˌin(t)-stə-ˈt(y)ü-shnəl,,"not belonging to, relating to, characteristic of, or appropriate to an institution : not institutional; not placed in the care of an institution : noninstitutionalized",adjective
indispensableness,ˌin-di-ˈspen(t)-sə-bəl,,absolutely necessary : essential; not subject to being set aside or neglected,adjective
prognostications,(ˌ)präg-ˌnä-stə-ˈkā-shən,,"an indication in advance : foretoken; an act, the fact, or the power of prognosticating : forecast; foreboding",noun
destructivenesses,di-ˈstrək-tiv,,causing destruction : ruinous; designed or tending to hurt or destroy,adjective
encephalographies,in-ˌse-fə-ˈlä-grə-fē,,radiography of the brain after the cerebrospinal fluid has been replaced by a gas (such as air),noun
unimpressiveness,ˌən-im-ˈpre-siv,,"not attracting or deserving particular attention, admiration, or interest : not impressive",adjective
ferroelectricity,ˌfer-ō-i-ˈlek-trik,,of or relating to crystalline substances having spontaneous electric polarization reversible by an electric field,adjective
unconscionableness,ˌən-ˈkän(t)-sh(ə-)nə-bəl,,"shockingly unfair or unjust; excessive, unreasonable; not guided or controlled by conscience : unscrupulous",adjective
electrophysiological,i-ˌlek-trō-ˌfi-zē-ˈä-lə-jē,,physiology that is concerned with the electrical aspects of physiological phenomena; electrical phenomena associated with a physiological process (such as the function of a body or bodily part),noun
antiestablishment,ˌan-tē-i-ˈsta-blish-mənt,,"opposed or hostile to the social, economic, and political principles of a ruling class (as of a nation) : opposed to the establishment",adjective
magnetoresistance,mag-ˌnē-tō-ri-ˈzi-stən(t)s,,a change in electrical resistance due to the presence of a magnetic field,noun
dephosphorylating,(ˌ)dē-ˌfäs-fȯr-ə-ˈlā-shən,,the process of removing phosphate groups from an organic compound (such as ATP) by hydrolysis; also : the resulting state,noun
tracheobronchial,ˌtrā-kē-ō-ˈbräŋ-kē-əl,,of or relating to both trachea and bronchi,adjective
microspectrophotometry,ˌmī-krə-ˌspek-trə-fō-ˈtä-mə-tər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (such as a single biological cell),noun
deconcentrations,(ˌ)dē-ˈkän(t)-sən-ˌtrāt,,to reduce or abolish the concentration of : decentralize,verb
inter-professional,ˌin-tər-prə-ˈfe-sh(ə-)nəl,,occurring between or involving two or more professions or professionals,adjective
overcapitalizations,ˌō-vər-ˈka-pə-tə-ˌlīz,,to put a nominal value on the capital of (a corporation) higher than actual cost or fair market value; to capitalize beyond what the business or the profit-making prospects warrant,verb
hyper-nationalistic,ˌhī-pər-ˌnash-nə-ˈli-stik,,extremely or excessively nationalistic,adjective
photomicrographies,ˌfō-tə-ˈmī-krə-ˌgraf,,a photograph of a microscope image,noun
denationalizations,(ˈ)dē-ˈnash-nə-ˌlīz,,to divest of national character or rights; to remove from ownership or control by the national government,verb
noncontraceptive,ˌnän-ˌkän-trə-ˈsep-tiv,,not used for or relating to contraception,adjective
unfashionableness,ˌən-ˈfa-sh(ə-)nə-bəl,,not in keeping with the current fashion; not favored socially,adjective
unacceptabilities,ˌən-ik-ˈsep-tə-bəl,,not acceptable : not pleasing or welcome,adjective
